collect.....= UnicornPy_2020.01.07.1
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-01-09T13:29:30.525524
filename....= recordeddata
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-3826.887,-3834.308,-3830.195,-3844.411,-3832.698,-3834.755,-3836.811,-3833.682,0.003,1.019,0.084,-0.519,1.831,0.336,66.667,117.000
-3826.530,-3833.682,-3830.374,-3844.143,-3832.430,-3834.129,-3836.543,-3833.861,0.001,1.020,0.087,-0.641,1.709,0.397,66.667,118.000
-3827.155,-3833.682,-3830.284,-3844.053,-3832.162,-3834.397,-3836.811,-3833.950,0.002,1.021,0.087,-0.641,1.678,0.427,66.667,119.000
-3827.245,-3834.129,-3830.284,-3844.411,-3832.609,-3834.934,-3836.811,-3833.861,0.001,1.020,0.088,-0.732,1.678,0.397,66.667,120.000
-3826.708,-3833.593,-3829.927,-3844.232,-3832.967,-3835.023,-3836.722,-3833.950,0.001,1.020,0.089,-0.763,1.740,0.519,66.667,121.000
-3826.798,-3833.593,-3830.284,-3844.053,-3832.520,-3834.755,-3836.632,-3833.861,0.001,1.021,0.086,-0.702,1.709,0.519,66.667,122.000
-3826.530,-3833.503,-3830.284,-3843.964,-3832.609,-3834.576,-3836.185,-3833.771,0.000,1.020,0.086,-0.732,1.709,0.641,66.667,123.000
-2580.822,-2588.869,-2584.935,-2598.882,-2587.349,-2588.779,-2590.746,-2588.243,0.002,1.019,0.088,-0.793,1.678,0.702,66.667,124.000
2410.502,2399.773,2404.958,2390.385,2401.561,2401.650,2398.432,2401.829,0.001,1.018,0.088,-0.763,1.648,0.732,66.667,125.000
3660.411,3648.967,3654.421,3639.848,3650.845,3651.292,3647.626,3651.739,0.003,1.018,0.086,-0.671,1.770,0.641,66.667,126.000
3660.501,3649.235,3654.332,3639.579,3650.666,3651.292,3647.805,3651.560,0.004,1.019,0.087,-0.671,1.678,0.702,66.667,127.000
3660.679,3649.057,3654.153,3639.848,3650.576,3651.292,3647.984,3651.470,0.001,1.019,0.087,-0.610,1.740,0.763,66.667,128.000
3660.858,3649.235,3654.332,3639.579,3650.487,3651.113,3648.073,3651.649,0.001,1.020,0.088,-0.702,1.740,0.641,66.667,129.000
3660.858,3648.878,3654.600,3640.026,3650.576,3650.845,3647.716,3651.560,0.002,1.021,0.084,-0.671,1.740,0.519,66.667,130.000
3660.679,3648.699,3654.242,3640.026,3650.666,3650.845,3647.984,3651.113,0.002,1.019,0.086,-0.610,1.770,0.458,66.667,131.000
3660.769,3648.878,3653.974,3640.026,3650.576,3651.292,3647.894,3651.470,0.002,1.020,0.085,-0.641,1.709,0.519,66.667,132.000
3660.858,3648.967,3654.153,3639.758,3650.755,3651.649,3648.073,3651.739,0.003,1.021,0.087,-0.641,1.770,0.427,66.667,133.000
3661.037,3649.146,3654.063,3639.669,3650.755,3651.560,3647.716,3651.560,0.001,1.019,0.090,-0.580,1.770,0.397,66.667,134.000
3660.858,3649.057,3654.421,3640.026,3650.576,3651.560,3647.358,3651.649,0.003,1.021,0.086,-0.580,1.740,0.397,66.667,135.000
3660.679,3648.967,3654.868,3640.295,3650.845,3651.470,3647.716,3651.470,0.003,1.021,0.086,-0.641,1.740,0.336,66.667,136.000
