collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-106.752,-118.643,-102.460,-126.779,-70.363,-110.865,-125.527,-109.345,0.553,0.770,0.431,-0.488,1.709,0.488,73.333,86.000
-106.663,-118.375,-102.013,-126.243,-70.184,-110.596,-125.349,-109.255,0.552,0.769,0.435,-0.549,1.709,0.488,73.333,87.000
-106.305,-118.196,-101.924,-126.243,-69.916,-110.596,-125.259,-109.166,0.553,0.770,0.435,-0.580,1.678,0.519,73.333,88.000
-106.305,-118.196,-102.013,-126.243,-69.827,-110.328,-124.902,-108.808,0.553,0.770,0.436,-0.641,1.678,0.549,73.333,89.000
-106.305,-117.928,-101.835,-125.885,-70.095,-110.328,-124.633,-108.808,0.554,0.771,0.433,-0.519,1.648,0.641,73.333,90.000
-105.858,-117.749,-101.566,-125.796,-70.274,-110.149,-124.365,-108.808,0.554,0.771,0.432,-0.610,1.617,0.763,73.333,91.000
-105.768,-117.660,-101.566,-125.706,-70.095,-110.060,-124.276,-108.629,0.554,0.772,0.436,-0.610,1.770,0.702,73.333,92.000
-105.679,-117.660,-101.656,-125.706,-70.184,-110.060,-124.007,-108.629,0.555,0.772,0.435,-0.610,1.740,0.580,73.333,93.000
-105.679,-117.570,-101.477,-125.438,-69.916,-110.060,-124.097,-108.719,0.556,0.771,0.436,-0.580,1.648,0.549,73.333,94.000
-105.500,-117.481,-101.209,-125.259,-70.095,-109.702,-123.918,-108.361,0.555,0.770,0.436,-0.610,1.740,0.519,73.333,95.000
-105.411,-117.302,-101.477,-125.438,-69.916,-109.613,-123.829,-108.272,0.555,0.769,0.436,-0.549,1.801,0.488,73.333,96.000
-105.321,-117.034,-101.388,-125.349,-69.916,-109.613,-123.382,-108.093,0.553,0.769,0.432,-0.336,1.801,0.336,73.333,97.000
-105.232,-117.213,-100.940,-125.080,-70.095,-109.613,-123.113,-108.093,0.552,0.770,0.434,-0.427,1.770,0.397,73.333,98.000
-105.143,-117.034,-101.119,-125.080,-70.095,-109.434,-123.024,-108.004,0.552,0.771,0.432,-0.427,1.709,0.427,73.333,99.000
-105.232,-116.944,-100.940,-124.902,-69.916,-109.255,-122.756,-107.914,0.551,0.771,0.433,-0.519,1.709,0.458,73.333,100.000
-104.874,-116.944,-100.940,-124.812,-70.095,-109.255,-122.577,-107.825,0.554,0.774,0.433,-0.519,1.709,0.641,73.333,101.000
-104.696,-116.676,-100.940,-124.633,-69.827,-109.255,-122.756,-107.914,0.553,0.773,0.432,-0.519,1.709,0.580,73.333,102.000
-104.696,-116.766,-100.940,-124.812,-69.827,-109.166,-122.756,-108.093,0.552,0.774,0.435,-0.610,1.648,0.671,73.333,103.000
